Species,Relative_Abundance
Clostridium sp. 001,0
Clostridium sp. 'deep sea',0
Clostridium sp. AWRP,0
Clostridium sp. LQ25,0
Clostridium sp. MF28,0
Clostridium sp. 16K-1-R1,0
Clostridium sp. CF011,0
Clostridium sp. CM027,0
Clostridium perfringens,4e-4
Clostridium botulinum,1e-4
Clostridium cadaveris,1e-4
Clostridium estertheticum,0
Clostridium pasteurianum,0
Clostridium thermosuccinogenes,0
Clostridium felsineum,0
Clostridium thermarum,0
Clostridium saccharoperbutylacetonicum,0
Clostridium kluyveri,0
Clostridium saccharobutylicum,0
Clostridium intestinale,0
Clostridium beijerinckii,0
Clostridium gelidum,0
Clostridium cellulovorans,0
Clostridium scatologenes,0
Clostridium bornimense,0
Clostridium isatidis,0
Clostridium tagluense,0
Clostridium manihotivorum,0
Clostridium novyi,0
Clostridium sporogenes,0
Clostridium tyrobutyricum,0
Clostridium baratii,0
Clostridium butyricum,0
Clostridium argentinense,0
Clostridium tetani,0
Clostridium carboxidivorans,0
Clostridium fermenticellae,0
Clostridium aceticum,0
Clostridium formicaceticum,0
Clostridium cochlearium,0
Clostridium taeniosporum,0
Clostridium acetobutylicum,0
Clostridium chauvoei,0
Clostridium drakei,0
Clostridium septicum,0
Clostridium gasigenes,0
Clostridium ljungdahlii,0
Clostridium autoethanogenum,0
Clostridium diolis,0
Clostridium haemolyticum,0
Hungatella hathewayi,0.0021
Crassaminicella indica,0
Crassaminicella thermophila,0
Crassaminicella profunda,0
Proteiniclasticum sp. QWL-01,0
Caloramator sp. E03,0
Caloramator sp. Dgby_cultured_2,0
Caloramator sp. mosi_1,0
Oceanirhabdus sp. W0125-5,0
Candidatus Arthromitus sp. SFB-rat-Yit,0
Candidatus Arthromitus sp. SFB-mouse-NL,0
Candidatus Arthromitus sp. SFB-mouse,0
Sarcina sp. JB2,0
Hathewaya histolytica,0
Intestinibacillus sp. NTUH-41-i26,0.0012
Agathobaculum sp. NTUH-O15-33,4e-4
Butyricicoccus sp. GAM44,0
Massilistercora timonensis,4e-4
Flintibacter sp. KGMB00164,4e-4
Intestinimonas butyriciproducens,3e-4
Sinanaerobacter sp. ZZT-01,0
Proteiniborus sp. MB09-C3,0
Thermaerobacter sp. PB12/4term,0
Thermaerobacter sp. FW80,0
Thermaerobacter marianensis,0
Thermaerobacter composti,0
Carboxydocella thermautotrophica,0
Fenollaria sporofastidiosus,0
Fenollaria massiliensis,0
Eubacterium ventriosum,3e-4
Eubacterium maltosivorans,2e-4
Eubacterium sp. MSJ-33,2e-4
Eubacterium callanderi,1e-4
Eubacterium limosum,1e-4
Acetobacterium wieringae,0
uncultured Acetobacterium sp.,0
Acetobacterium sp. KB-1,0
Acetobacterium woodii,0
Alkalibacter rhizosphaerae,0
Caproiciproducens sp. CPB-2,1e-4
Caproiciproducens sp. NJN-50,0
uncultured Caproiciproducens sp.,0
Acutalibacter muris,1e-4
Caproicibacter fermentans,0
Caproicibacter sp. BJN0012,0
Desulfitobacterium hafniense,0
Desulfitobacterium dehalogenans,0
Desulfitobacterium dichloroeliminans,0
Desulfitobacterium metallireducens,0
Desulfosporosinus youngiae,0
Desulfosporosinus acidiphilus,0
Desulfosporosinus orientis,0
Desulfosporosinus meridiei,0
Dehalobacter sp. DCM,0
Dehalobacter sp. CF,0
Dehalobacter sp. DCA,0
Dehalobacter restrictus,0
Syntrophobotulus glycolicus,0
Desulforamulus ruminis,0
Desulforamulus ferrireducens,0
Desulforamulus reducens,0
Dehalobacterium formicoaceticum,0
Candidatus Formimonas warabiya,0
Thermanaerosceptrum fracticalcis,0
Candidatus Desulforudis audaxviator,0
Desulfofarcimen acetoxidans,0
Acididesulfobacillus acetoxydans,0
Aristaeella lactis,1e-4
Aristaeella hokkaidonensis,1e-4
Maliibacterium massiliense,0
Heliomicrobium modesticaldum,0
Heliorestis convoluta,0
Syntrophomonas wolfei,0
Syntrophothermus lipocalidus,0
Candidatus Syntrophocurvum alkaliphilum,0
Symbiobacterium thermophilum,0
Caldinitratiruptor microaerophilus,0
Desulfotomaculum nigrificans,0
Thermincola potens,0
Desulfoscipio gibsoniae,0
Alkalicella caledoniensis,0
Clostridioides difficile,0.0055000000000000005
Clostridioides sp. ES-S-0107-01,0
Clostridioides sp. ES-S-0173-01,0
Intestinibacter bartlettii,2e-4
Terrisporobacter petrolearius,0
Terrisporobacter glycolicus,0
Terrisporobacter mayombei,0
Terrisporobacter hibernicus,0
Peptacetobacter hiranonis,1e-4
Romboutsia sp. CE17,0
Romboutsia sp. 13368,0
Romboutsia ilealis,0
Romboutsia hominis,0
Paraclostridium sordellii,0
Paraclostridium bifermentans,0
Tepidibacter hydrothermalis,0
Tepidibacter aestuarii,0
Peptostreptococcus equinus,0
Emergencia timonensis,1e-4
Emergencia sp. JLR.KK010,1e-4
Aminipila luticellarii,0
Aminipila terrae,0
Aminipila butyrica,0
Mogibacterium pumilum,0
Mogibacterium diversum,0
Mogibacterium neglectum,0
Alkaliphilus metalliredigens,0
Alkaliphilus sp. B6464,0
Alkaliphilus oremlandii,0
Serpentinicella alkaliphila,0
Filifactor alocis,0
Acetoanaerobium sticklandii,0
Geosporobacter ferrireducens,0
Peptoclostridium acidaminophilum,0
Caminicella sporogenes,0
Monoglobus pectinilyticus,2e-4
Thermoanaerobacterium sp. RBIITD,0
Thermoanaerobacterium sp. CMT5567-10,0
Thermoanaerobacterium thermosaccharolyticum,0
Thermoanaerobacterium xylanolyticum,0
Thermoanaerobacterium saccharolyticum,0
Thermoanaerobacter kivui,0
Thermoanaerobacter mathranii,0
Thermoanaerobacter wiegelii,0
Thermoanaerobacter italicus,0
Thermoanaerobacter sp. X514,0
Thermoanaerobacter sp. RKWS2,0
Thermoanaerobacter siderophilus,0
Gelria sp. Kuro-4,0
Caldanaerobacter subterraneus,0
Thermacetogenium phaeum,0
Aceticella autotrophica,0
Ammonifex degensii,0
Carboxydothermus hydrogenoformans,0
Mahella australiensis,0
Christensenella minuta,1e-4
Halanaerobium hydrogeniformans,0
Halanaerobium praevalens,0
Iocasia fonsfrigidae,0
Halocella sp. SP3-1,0
Anoxybacter fermentans,0
Acetohalobium arabaticum,0
Halobacteroides halobius,0
Halothermothrix orenii,0
Moorella thermoacetica,0
Moorella sp. Hama-1,0
Moorella glycerini,0
Moorella humiferrea,0
Thermanaeromonas toyohensis,0
Zhaonella formicivorans,0
Biomaibacter acetigenes,0
Tepidanaerobacter acetatoxydans,0
Thermosediminibacter oceani,0
Koleobacter methoxysyntrophicus,0
Helicovermis profundi,0
Natranaerobius thermophilus,0
Natranaerofaba carboxydovora,0
Phascolarctobacterium faecium,0.0414
Phascolarctobacterium succinatutens,1e-4
Phascolarctobacterium sp. Marseille-Q4147,0
Acidaminococcus fermentans,1e-4
Acidaminococcus intestini,0
Selenomonas sp. oral taxon 126,0
Selenomonas sp. TAMA-11512,0
Selenomonas sp. oral taxon 920,0
Selenomonas sp. oral taxon 478,0
Selenomonas sp. oral taxon 136,0
Selenomonas ruminantium,0
Selenomonas sputigena,0
Selenomonas dianae,0
Selenomonas timonae,0
Megamonas hypermegale,1e-4
Megamonas funiformis,0
Selenobaculum gbiensis,0
Pectinatus frisingensis,0
Sporomusa termitida,0
Sporomusa sphaeroides,0
Sporomusa ovata,0
uncultured Sporomusa sp.,0
Pelosinus fermentans,0
Pelosinus sp. UFO1,0
uncultured Anaeromusa sp.,0
Methylomusa anaerophila,0
Megasphaera stantonii,1e-4
Megasphaera elsdenii,0
Megasphaera massiliensis,0
Megasphaera hexanoica,0
Veillonella atypica,0
Veillonella rogosae,0
Veillonella parvula,0
Veillonella rodentium,0
Veillonella nakazawae,0
Veillonella dispar,0
Veillonella sp. S12025-13,0
Dialister succinatiphilus,0
Dialister hominis,0
Dialister pneumosintes,0
Dialister massiliensis,0
[Clostridium] innocuum,0.0106
Longicatena caecimuris,8e-4
Amedibacterium intestinale,3e-4
Allobaculum mucilyticum,0
Allobaculum sp. Allo2,0
Erysipelothrix sp. HDW6C,0
Erysipelothrix sp. HDW6B,0
Erysipelothrix sp. HDW6A,0
Erysipelothrix sp. P66,0
Erysipelothrix inopinata,0
Erysipelothrix larvae,0
Erysipelothrix rhusiopathiae,0
Erysipelothrix piscisicarius,0
Erysipelothrix enhydrae,0
Allocoprobacillus halotolerans,1e-4
Intestinibaculum porci,0
Solobacterium moorei,0
Faecalibaculum rodentium,0
Bulleidia sp. zg-1006,0
Thomasclavelia ramosa,0.0036
Erysipelatoclostridium sp. An173,0
Thomasclavelia spiroformis,0
Faecalibacillus intestinalis,1e-4
Catenibacterium sp. co_0103,0
Catenibacterium mitsuokai,0
Tannockella kyphosi,0
Turicibacter sp. H121,0
Turicibacter sp. KK003,0
Turicibacter sp. TJ11,0
Turicibacter sanguinis,0
Turicibacter bilis,0
Turicibacter faecis,0
Bacillus sp. S3,0
Bacillus sp. Y1,0
Bacillus sp. FJAT-42376,0
Bacillus sp. NEB1478,0
Bacillus sp. T3,0
Bacillus sp. KH172YL63,0
Bacillus sp. FJAT-18017,0
Bacillus sp. THAF10,0
Bacillus sp. OxB-1,0
Bacillus sp. DTU_2020_1000418_1_SI_GHA_SEK_038,0
Bacillus sp. N1-1,0
Bacillus sp. 1NLA3E,0
Bacillus sp. FJAT-22090,0
Bacillus sp. Cs-700,0
Bacillus sp. FJAT-52991,0
Bacillus sp. FSL K6-4563,0
Bacillus sp. DX3.1,0
Bacillus sp. FSL K6-2861,0
Bacillus sp. N5-665,0
Bacillus sp. SB49,0
Bacillus sp. MBGLi79,0
Bacillus sp. B25(2016b),0
Bacillus sp. LJBS17,0
Bacillus sp. 31A1R,0
Bacillus sp. FSL R5-0712,0
Bacillus sp. FSL M8-0350,0
Bacillus sp. 3a,0
Bacillus sp. BD59S,0
Bacillus sp. FSL R5-0286,0
Bacillus sp. FDAARGOS_1420,0
Bacillus sp. FSL P4-0248,0
Bacillus sp. YBsi01,0
Bacillus sp. NSP9.1,0
Bacillus sp. FSL L8-0528,0
Bacillus sp. COPE52,0
Bacillus sp. HNR-4,0
Bacillus sp. N447-1,0
Bacillus sp. FSL R5-0422,0
Bacillus sp. FSL K6-1003,0
Bacillus sp. FSL W7-1085,0
Bacillus sp. FSL M7-0791,0
Bacillus sp. FSL K6-1560,0
Bacillus sp. SI2,0
Bacillus sp. FDAARGOS_527,0
Bacillus sp. JS,0
Bacillus sp. PS108,0
Bacillus sp. FSL R5-0560,0
Bacillus sp. PDNC022,0
Bacillus sp. FSL R5-0512,0
Bacillus sp. FSL M7-0307,0
Bacillus sp. FSL W8-0629,0
Bacillus sp. ZJS3,0
Bacillus sp. FSL R5-0432,0
Bacillus sp. HSf4,0
Bacillus sp. FSL W7-1582,0
Bacillus sp. FSL M8-0315,0
Bacillus sp. FSL M8-0049,0
Bacillus sp. ms-22,0
Bacillus sp. FSL K6-0972,0
Bacillus sp. ZHX3,0
Bacillus sp. NP247,0
Bacillus sp. CRB-7,0
Bacillus sp. CMF12,0
Bacillus sp. FSL W8-0920,0
Bacillus sp. FSL K6-1012,0
Bacillus sp. FSL K6-0993,0
Bacillus sp. FSL R5-0523,0
Bacillus sp. BR3(2024),0
Bacillus sp. FSL M8-0277,0
Bacillus sp. MAG717A,0
Bacillus sp. FSL R7-0672,0
Bacillus cereus,0
Bacillus thuringiensis,0
Bacillus mycoides,0
Bacillus pseudomycoides,0
Bacillus paramobilis,0
Bacillus toyonensis,0
Bacillus nitratireducens,0
Bacillus cytotoxicus,0
Bacillus luti,0
Bacillus paranthracis,0
Bacillus wiedmannii,0
Bacillus tropicus,0
Bacillus sp. HBCD-sjtu,0
Bacillus sp. ABP14,0
Bacillus pacificus,0
Bacillus anthracis,0
Bacillus paramycoides,0
Bacillus bombysepticus,0
Bacillus albus,0
Bacillus velezensis,0
Bacillus amyloliquefaciens,0
Bacillus siamensis,0
Bacillus atrophaeus,0
Bacillus paralicheniformis,0
Bacillus halotolerans,0
Bacillus mojavensis,0
Bacillus vallismortis,0
Bacillus subtilis,0
Bacillus tequilensis,0
Bacillus spizizenii,0
Bacillus licheniformis,0
Bacillus inaquosorum,0
Bacillus stercoris,0
Bacillus sonorensis,0
Bacillus pumilus,0
Bacillus altitudinis,0
Bacillus infantis,0
Bacillus badius,0
Bacillus shivajii,0
Bacillus swezeyi,0
Bacillus methanolicus,0
Bacillus arachidis,0
Bacillus gobiensis,0
Bacillus weihaiensis,0
Bacillus glycinifermentans,0
Bacillus smithii,0
Bacillus xiamenensis,0
Bacillus safensis,0
Bacillus aquiflavi,0
Bacillus carboniphilus,0
Bacillus aerius,0
Bacillus cabrialesii,0
Bacillus fonticola,0
Bacillus rugosus,0
Neobacillus sp. WH10,0
Neobacillus sp. OS1-32,0
Neobacillus sp. FSL H8-0543,0
Neobacillus sp. OS1-33,0
Neobacillus sp. PS3-34,0
Neobacillus sp. Marseille-Q6967,0
Neobacillus sp. 114,0
Neobacillus sp. DY30,0
Neobacillus sp. SuZ13,0
Neobacillus sp. PS3-12,0
Neobacillus sp. YX16,0
Neobacillus sp. OS1-2,0
Neobacillus sp. PS2-9,0
Neobacillus sp. PS3-40,0
Neobacillus cucumis,0
Neobacillus mesonae,0
Neobacillus drentensis,0
Neobacillus novalis,0
Lysinibacillus sp. Ag94,0
Lysinibacillus sp. FSL H8-0500,0
Lysinibacillus sp. 2017,0
Lysinibacillus sp. FSL K6-1151,0
Lysinibacillus sp. FSL M8-0337,0
Lysinibacillus sp. SGAir0095,0
Lysinibacillus sp. CD3-6,0
Lysinibacillus sp. FSL K6-3209,0
Lysinibacillus sp. JNUCC-52,0
Lysinibacillus sp. FSL L8-0126,0
Lysinibacillus sp. Y5S-8,0
Lysinibacillus sp. FSL P2-0066,0
Lysinibacillus sp. G01H,0
Lysinibacillus sp. JNUCC-51,0
Lysinibacillus sp. 1 U-2021,0
Lysinibacillus sp. FSL P4-0201,0
Lysinibacillus sp. YS11,0
Lysinibacillus sp. FSL K6-0057,0
Lysinibacillus sp. FSL K6-4013,0
Lysinibacillus sp. FSL K6-0075,0
Lysinibacillus sp. FSL M8-0216,0
Lysinibacillus sp. OF-1,0
Lysinibacillus sp. ACHW1.5,0
Lysinibacillus sp. JK80,0
Lysinibacillus sp. FSL W7-1291,0
Lysinibacillus sp. C5.1,0
Lysinibacillus louembei,0
Lysinibacillus timonensis,0
Lysinibacillus sphaericus,0
Lysinibacillus fusiformis,0
Lysinibacillus telephonicus,0
Lysinibacillus irui,0
Lysinibacillus capsici,0
Lysinibacillus pakistanensis,0
Lysinibacillus agricola,0
Lysinibacillus macroides,0
Lysinibacillus parviboronicapiens,0
Lysinibacillus varians,0
Peribacillus asahii,0
Peribacillus sp. R9-11,0
Peribacillus sp. FSL E2-0218,0
Peribacillus sp. FSL P2-0133,0
Peribacillus sp. FSL E2-0159,0
Peribacillus simplex,0
Peribacillus frigoritolerans,0
Peribacillus psychrosaccharolyticus,0
Peribacillus muralis,0
Peribacillus butanolivorans,0
Mesobacillus jeotgali,0
Mesobacillus sp. AQ2,0
Mesobacillus sp. S13,0
Mesobacillus foraminis,0
Mesobacillus subterraneus,0
Priestia megaterium,0
Priestia flexa,0
Priestia koreensis,0
Priestia filamentosa,0
Priestia aryabhattai,0
Priestia endophytica,0
Cytobacillus firmus,0
Cytobacillus gottheilii,0
Cytobacillus solani,0
Cytobacillus dafuensis,0
Cytobacillus pseudoceanisediminis,0
Cytobacillus spongiae,0
Cytobacillus oceanisediminis,0
Cytobacillus kochii,0
Cytobacillus sp. FSL W7-1323,0
Oceanobacillus sp. FSL K6-3682,0
Oceanobacillus sp. FSL K6-2867,0
Oceanobacillus sp. FSL W7-1281,0
Oceanobacillus sp. FSL K6-0127,0
Oceanobacillus sp. FSL W7-1304,0
Oceanobacillus sp. FSL W7-1293,0
Oceanobacillus jeddahense,0
Oceanobacillus zhaokaii,0
Oceanobacillus kimchii,0
Oceanobacillus oncorhynchi,0
Oceanobacillus iheyensis,0
Niallia sp. Man26,0
Niallia sp. XMNu-256,0
Niallia sp. RD1,0
Niallia oryzisoli,0
Niallia circulans,0
Niallia taxi,0
Virgibacillus sp. Bac330,0
Virgibacillus sp. MSP4-1,0
Virgibacillus sp. NKC19-16,0
Virgibacillus sp. SK37,0
Virgibacillus sp. Bac332,0
Virgibacillus sp. 6R,0
Virgibacillus necropolis,0
Virgibacillus halodenitrificans,0
Virgibacillus natechei,0
Virgibacillus dokdonensis,0
Virgibacillus phasianinus,0
Virgibacillus pantothenticus,0
Virgibacillus salarius,0
Metabacillus sp. cB07,0
Metabacillus sp. FJAT-52054,0
Metabacillus sp. B2-18,0
Metabacillus sp. FJAT-53654,0
Metabacillus sp. KUDC1714,0
Metabacillus sp. CT-WN-B3,0
Metabacillus sediminilitoris,0
Metabacillus litoralis,0
Metabacillus endolithicus,0
Metabacillus dongyingensis,0
Rossellomorea marisflavi,0
Rossellomorea aquimaris,0
Rossellomorea vietnamensis,0
Rossellomorea sp. y25,0
Rossellomorea sp. KS-H15a,0
Rossellomorea sp. DA94,0
Geobacillus genomosp. 3,0
Geobacillus sp. 47C-IIb,0
Geobacillus sp. 46C-IIa,0
Geobacillus sp. C56-T3,0
Geobacillus sp. Y412MC52,0
Geobacillus sp. E263,0
Geobacillus sp. FSL K6-0789,0
Geobacillus sp. JS12,0
Geobacillus sp. FSL K6-3411,0
Geobacillus subterraneus,0
Geobacillus kaustophilus,0
Geobacillus thermocatenulatus,0
Geobacillus thermoleovorans,0
[Bacillus] caldolyticus,0
Geobacillus thermodenitrificans,0
Geobacillus stearothermophilus,0
Geobacillus proteiniphilus,0
Geobacillus zalihae,0
Fictibacillus sp. KU28468,0
Fictibacillus enclensis,0
Fictibacillus phosphorivorans,0
Fictibacillus arsenicus,0
Heyndrickxia vini,0
Heyndrickxia coagulans,0
Weizmannia sp. FSL K6-0777,0
Weizmannia sp. FSL W8-0676,0
Heyndrickxia sp. FSL K6-6286,0
Heyndrickxia oleronia,0
Halobacillus litoralis,0
Halobacillus halophilus,0
Halobacillus salinarum,0
Halobacillus naozhouensis,0
Halobacillus shinanisalinarum,0
Halobacillus mangrovi,0
Halobacillus amylolyticus,0
Halobacillus sp. ACCC02827,0
Anoxybacillus caldiproteolyticus,0
Anoxybacillus sp. PDR2,0
Anoxybacillus sp. FSL W8-1294,0
Anoxybacillus sp. B7M1,0
Anoxybacillus gonensis,0
Anoxybacillus amylolyticus,0
Anoxybacillus flavithermus,0
Psychrobacillus sp. FSL H8-0483,0
Psychrobacillus sp. INOP01,0
Psychrobacillus sp. FSL K6-4046,0
Psychrobacillus sp. FSL K6-2843,0
Psychrobacillus sp. AK 1817,0
Psychrobacillus sp. FSL W7-1457,0
Psychrobacillus glaciei,0
Parageobacillus genomosp. 1,0
Parageobacillus sp. KH3-4,0
Parageobacillus toebii,0
Parageobacillus thermoglucosidasius,0
Parageobacillus caldoxylosilyticus,0
Siminovitchia fortis,0
Siminovitchia sp. FSL H7-0308,0
Siminovitchia sp. FSL W7-1587,0
Evansella sp. LMS18,0
Evansella cellulosilytica,0
Aeribacillus sp. FSL k6-2211,0
Aeribacillus sp. FSL K6-3256,0
Aeribacillus sp. FSL K6-2833,0
Aeribacillus sp. FSL W8-0870,0
Aeribacillus sp. FSL K6-8210,0
Aeribacillus pallidus,0
Aeribacillus composti,0
Sutcliffiella sp. FSL R7-0096,0
Sutcliffiella sp. NC1,0
Sutcliffiella horikoshii,0
Sutcliffiella cohnii,0
Shouchella clausii,0
Shouchella lehensis,0
Shouchella hunanensis,0
Shouchella miscanthi,0
Salisediminibacterium beveridgei,0
Salisediminibacterium selenitireducens,0
Terribacillus sp. DMT04,0
Terribacillus sp. FSL K6-0262,0
Terribacillus goriensis,0
Terribacillus saccharophilus,0
Amphibacillus xylanus,0
Gracilibacillus salinarum,0
Gracilibacillus salitolerans,0
Gracilibacillus caseinilyticus,0
Radiobacillus deserti,0
Radiobacillus kanasensis,0
Pontibacillus sp. ALD_SL1,0
Pontibacillus sp. HMF3514,0
Pontibacillus chungwhensis,0
Alkalihalophilus pseudofirmus,0
Lentibacillus amyloliquefaciens,0
Lentibacillus sp. CBA3610,0
Lentibacillus daqui,0
Alkalicoccus halolimnae,0
Paraliobacillus zengyii,0
Salimicrobium jeotgali,0
Fervidibacillus halotolerans,0
Fervidibacillus albus,0
Gottfriedia acidiceleris,0
Salicibibacter kimchii,0
Salicibibacter cibarius,0
Salicibibacter halophilus,0
Salicibibacter cibi,0
Sediminibacillus dalangtanensis,0
Lederbergia lenta,0
Ectobacillus sp. JY-23,0
Halalkalibacterium halodurans,0
Domibacillus sp. DTU_2020_1001157_1_SI_ALB_TIR_016,0
Mangrovibacillus cuniculi,0
Alkalihalobacillus sp. LMS39,0
Alkalihalobacillus sp. AL-G,0
Alkalihalobacillus sp. LMS6,0
Pradoshia sp. D12,0
Caldifermentibacillus hisashii,0
Tepidibacillus sp. LSZ-M11000,0
Pseudalkalibacillus hwajinpoensis,0
Caldalkalibacillus thermarum,0
Salipaludibacillus sp. LMS25,0
Ornithinibacillus sp. FSL M8-0202,0
Halalkalibacter krulwichiae,0
Anaerobacillus isosaccharinicus,0
Caldibacillus thermoamylovorans,0
Allobacillus halotolerans,0
Paenalkalicoccus suaedae,0
Paenibacillus sp. FSL R7-0345,0
Paenibacillus sp. MBLB1832,0
Paenibacillus sp. PK3_47,0
Paenibacillus sp. FSL R7-0331,0
Paenibacillus sp. FSL R7-0652,0
Paenibacillus sp. SYP-B4298,0
Paenibacillus sp. MMS20-IR301,0
Paenibacillus sp. FSL M8-0142,0
Paenibacillus sp. FSL W8-0194,0
Paenibacillus sp. FSL K6-3182,0
Paenibacillus sp. BIHB 4019,0
Paenibacillus sp. FSL H8-0548,0
Paenibacillus sp. CAA11,0
Paenibacillus sp. R14(2021),0
Paenibacillus sp. FSL K6-2441,0
Paenibacillus sp. H1-7,0
Paenibacillus sp. KS-LC4,0
Paenibacillus sp. FSL K6-1096,0
Paenibacillus sp. FSL H3-0469,0
Paenibacillus sp. JDR-2,0
Paenibacillus sp. FSL R7-0273,0
Paenibacillus sp. YPD9-1,0
Paenibacillus sp. 19GGS1-52,0
Paenibacillus sp. 32O-W,0
Paenibacillus sp. URB8-2,0
Paenibacillus sp. FSL L8-0340,0
Paenibacillus sp. PSB04,0
Paenibacillus sp. FSL H8-0332,0
