"","Kingdom","Phylum","Class","Order","Family","Genus","Species","sa1"
"2779518","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__liquoris",14856
"1737424","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__massiliensis (ex Durand et al. 2017)",406
"39488","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerobutyricum","s__hallii",733420
"189330","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__",5788
"88431","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__longicatena",585291
"39486","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Dorea","s__formicigenerans",109130
"1506553","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__",3868
"29347","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__[Clostridium] scindens",619434
"89153","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__[Clostridium] hylemonae",35938
"1871021","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__phocaeense",29659
"66219","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoclostridium","s__phytofermentans",8215
"207244","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__",1250
"649756","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__hadrus",409942
"105841","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__caccae",34778
"1229621","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes","s__rhamnosivorans",13290
"841","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__",17390
"166486","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__intestinalis",134531
"301301","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__hominis",67217
"1261635","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__sp. 831b",28167
"1261634","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__sp. 499",25106
"2763062","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__rectibacter",23421
"1653434","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Sellimonas","s__intestinalis",218960
"2719231","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lacrimispora","s__",7458
"84030","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lacrimispora","s__saccharolytica",70491
"29370","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lacrimispora","s__sphenoides",34179
"29375","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lacrimispora","s__xylanolytica",30653
"33042","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__",2238
"410072","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__comes",70669
"116085","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__catus",44883
"33043","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__eutactus",14426
"751585","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Coprococcus","s__sp. ART55/1",5983
"39491","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Agathobacter","s__rectalis",64975
"1843210","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerocolumna","s__",3922
"3039116","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerocolumna","s__sp. AGMB13025",11889
"3081750","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerocolumna","s__sp. AGMB13020",10185
"3070997","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerocolumna","s__sp. MB42-C2",9748
"2696063","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerocolumna","s__sedimenticola",9980
"1727145","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerocolumna","s__chitinilytica",9949
"433286","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerocolumna","s__cellulosilytica",8148
"3028070","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Claveliimonas","s__bilis",49640
"2763672","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Simiaoa","s__sunii",46396
"2763667","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Wansuia","s__hejianensis",37049
"830","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio","s__",1313
"831","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio","s__fibrisolvens",11717
"45851","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio","s__crossotus",11146
"43305","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio","s__proteoclasticus",6355
"185008","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Butyrivibrio","s__hungatei",4965
"2918914","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Chakrabartyella","s__piscis",35068
"168384","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Marvinbryantia","s__formatexigens",31839
"3070215","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Kineothrix","s__sp. MB12-C1",13910
"3123317","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Kineothrix","s__sp. IPX-CK",13559
"2763669","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Qiania","s__dongpingensis",23059
"2068655","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Novisyntrophococcus","s__fermenticellae",16114
"1164882","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoanaerobaculum","s__",1020
"2490855","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoanaerobaculum","s__gingivalis",9074
"617123","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnoanaerobaculum","s__umeaense",5088
"39485","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospira","s__eligens",14776
"2763670","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Wujia","s__chipingensis",11840
"185007","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Pseudobutyrivibrio","s__xylanivorans",8940
"3059030","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Stomatobaculum","s__sp. F0698",7841
"2785025","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaeromicropila","s__herbilytica",7435
"2709410","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Chordicoccus","s__furentiruminis",6506
"2934315","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaeropeptidivorans","s__aminofermentans",5240
"1679721","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Herbinix","s__luporum",3866
"36835","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Tyzzerella","s__[Clostridium] colinum",2528
"420336","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Candidatus Epulonipiscium","s__viviparus",825
"2681861","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Sporofaciens","s__musculi",327
"2039240","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Anaerotignaceae","g__Anaerotignum","s__",13634
"3070814","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Anaerotignaceae","g__Anaerotignum","s__sp. MB30-C6",58543
"28446","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Anaerotignaceae","g__Anaerotignum","s__propionicum",49877
"2603322","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Vallitaleaceae","g__","s__",6
"1348611","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Vallitaleaceae","g__Vallitalea","s__",6
"1348613","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Vallitaleaceae","g__Vallitalea","s__pronyensis",2524
"1185412","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Vallitaleaceae","g__Vallitalea","s__guaymasensis",2079
"2173034","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Vallitaleaceae","g__Petrocella","s__atlantisensis",1339
"879970","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Defluviitaleaceae","g__Defluviitalea","s__saccharophila",4179
"698776","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Cellulosilyticaceae","g__Cellulosilyticum","s__",1460
"29360","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Cellulosilyticaceae","g__Cellulosilyticum","s__lentocellum",1040
"2497860","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Cellulosilyticaceae","g__Cellulosilyticum","s__sp. WCF-2",756
"186802","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__","g__","s__",90436
"216572","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__","s__",176382
"216851","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__",605734
"853","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__prausnitzii",6730560
"2929494","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. I4-1-79",90879
"2929490","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. I2-3-92",83587
"2929492","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. I3-3-33",75841
"3030639","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. CYL33",75641
"2929489","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. IP-3-29",70179
"2929495","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. I4-3-84",58891
"2929493","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. I3-3-89",51352
"2929488","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. IP-1-18",45474
"2929491","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__sp. HTF-F",41296
"411483","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Faecalibacterium","s__duncaniae",58181
"1550024","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruthenibacterium","s__lactatiformans",3094111
"292800","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Flavonifractor","s__plautii",338242
"292632","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Subdoligranulum","s__",41656
"512298","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Subdoligranulum","s__uncultured Subdoligranulum sp.",108143
"214851","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Subdoligranulum","s__variabile",104134
"169435","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Anaerotruncus","s__colihominis",120670
"1263","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__",424
"657323","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__sp. SR1/5",59639
"2831966","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__sp. FMBCY1",18
"2878202","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__sp. FMB-CY1",14
"438033","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__gauvreauii",18732
"1161942","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__champanellensis",6488
"1264","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__albus",4398
"2564099","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__bovis",4037
"1160721","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminococcus","s__bicirculans (ex Wegman et al. 2014)",3959
"2892396","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Vescimonas","s__",7680
"2714355","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Vescimonas","s__coprocola",40289
"2714353","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Vescimonas","s__fastidiosa",21000
"459786","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillibacter","s__",1
"2763056","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillibacter","s__hominis",30102
"2109687","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Oscillibacter","s__sp. PEA192",28674
"2834348","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Caproicibacterium","s__",599
"3030016","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Caproicibacterium","s__argilliputei",16240
"2766537","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Caproicibacterium","s__amylolyticum",4767
"2666138","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Caproicibacterium","s__lactatifermentans",3394
"2994078","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Caproicibacterium","s__sp. BJN0003",2713
"2108523","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Lawsonibacter","s__asaccharolyticus",27207
"2093857","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Dysosmobacter","s__welbionis",22251
"2714358","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Pusillibacter","s__faecalis",21868
"2780922","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Solibaculum","s__mannosilyticum",7489
"35829","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__",8
"288965","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__clariflavus",2481
"1515","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__thermocellus",1892
"1677857","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__saccincola",476
"1508657","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminiclostridium","s__",28
"29362","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminiclostridium","s__papyrosolvens",1961
"2488810","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminiclostridium","s__herbifermentans",1240
"1521","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ruminiclostridium","s__cellulolyticum",1198
"253239","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Ethanoligenens","s__harbinense",3022
"3045146","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Petroclostridium","s__sp. X23",2625
"3070656","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Paludihabitans","s__Paludicola sp. MB14-C6",2130
"1510","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Thermoclostridium","s__stercorarium",1875
"2966552","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Thermocaproicibacter","s__melissae",1712
"3079925","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Amygdalobacter","s__",28
"3029272","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Amygdalobacter","s__indicium",936
"3029274","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Amygdalobacter","s__nucleatus",719
"884684","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Mageeibacillus","s__indolicus",1111
"236753","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Fastidiosipila","s__sanguinis",199
"31979","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__","s__",1984
"1485","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__",31357
"411486","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. M62/1",129932
"1042156","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. SY8519",13181
"97138","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. MD294",12229
"1155388","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. C1",3617
"3070681","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. OS1-26",1887
"641107","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. DL-VIII",1568
"2507159","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. JN-9",1115
"755731","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. BNL1100",1079
"3064705","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. JS66",999
"2930219","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. BJN0001",891
"2483110","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. JN-1",844
"3070996","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. MB40-C1",661
"1970093","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. 001",617
"2779445","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. 'deep sea'",403
"2212991","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. AWRP",327
"2992805","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. LQ25",148
"1702238","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. MF28",136
"2681265","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. 16K-1-R1",14
"2843318","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. CF011",9
"2849865","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__sp. CM027",1
"1502","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__perfringens",25418
"1491","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__botulinum",5592
"1529","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__cadaveris",4051
"238834","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__estertheticum",2875
"1501","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__pasteurianum",2702
"84032","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__thermosuccinogenes",2441
"36839","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__felsineum",2395
"1716543","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__thermarum",2225
"36745","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__saccharoperbutylacetonicum",2155
"1534","k__Bacteria","p__Bacillota","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__kluyveri",1975
